Species,Port,Year,Month,Quantity,Value
Capelin,Akureyri,1992,11,4970,21304
Capelin,Akureyri,1992,12,1607,6528
Capelin,Akureyri,1993,1,0,0
Capelin,Akureyri,1993,2,8452,32546
Capelin,Akureyri,1993,3,2916,9854
Capelin,Akureyri,1993,4,0,0
Capelin,Akureyri,1993,5,0,0
Capelin,Akureyri,1993,6,0,0
Capelin,Akureyri,1993,7,7318,29272
Capelin,Akureyri,1993,8,7131,30571
Capelin,Akureyri,1993,9,6830,31477
Capelin,Akureyri,1993,10,4956,22589
Capelin,Akureyri,1993,11,231,978
Capelin,Akureyri,1993,12,168,806
Capelin,Akureyri,1994,1,0,0
Capelin,Akureyri,1994,2,9500,44481
Capelin,Akureyri,1994,3,5326,23023
Capelin,Akureyri,1994,4,0,0
Capelin,Akureyri,1994,5,0,0
Capelin,Akureyri,1994,6,0,0
Capelin,Akureyri,1994,7,8603,35384
Capelin,Akureyri,1994,8,5975,25935
Capelin,Akureyri,1994,9,578,2486
Capelin,Akureyri,1994,10,0,0
Capelin,Akureyri,1994,11,22,92
Capelin,Akureyri,1994,12,0,0
Capelin,Akureyri,1995,1,0,0
Capelin,Akureyri,1995,2,4016,22089
Capelin,Akureyri,1995,3,12783,45098
Capelin,Akureyri,1995,4,599,2216
Capelin,Akureyri,1995,5,0,0
Capelin,Akureyri,1995,6,0,0
Capelin,Akureyri,1995,7,4666,19272
Capelin,Akureyri,1995,8,0,0
Capelin,Akureyri,1995,9,0,0
Capelin,Akureyri,1995,10,0,0
Capelin,Akureyri,1995,11,7100,43214
Capelin,Akureyri,1995,12,1124,7026
Capelin,Akureyri,1996,1,0,0
Capelin,Akureyri,1996,2,7955,59478
Capelin,Akureyri,1996,3,13668,63544
Capelin,Akureyri,1996,4,0,0
Capelin,Akureyri,1996,5,0,0
Capelin,Akureyri,1996,6,0,0
Capelin,Akureyri,1996,7,19417,97087
Capelin,Akureyri,1996,8,11573,57865
Capelin,Akureyri,1996,9,2102,11561
Capelin,Akureyri,1996,10,1805,10112
Capelin,Akureyri,1996,11,5031,29005
Capelin,Akureyri,1996,12,0,0
Capelin,Akureyri,1997,1,0,0
Capelin,Akureyri,1997,2,8053,48773
