Ár,Tekju- og gjaldaliðir,Tegund skipa,Rekstraryfirlit fiskveiða 1997-2024
1998,2.6  Viðhald,Uppsjávarveiðiskip,752
1998,2.6  Viðhald,Ísfisktogarar,829
1998,2.6  Viðhald,Frystitogarar,1374
1998,2.7  Frystikostn. umbúðir og fl.,Samtals,.
1998,2.7  Frystikostn. umbúðir og fl.,Bátar undir 10 brl.,.
1998,2.7  Frystikostn. umbúðir og fl.,Bátar 10-200 brl.,.
1998,2.7  Frystikostn. umbúðir og fl.,Bátar > 200 brl.,.
1998,2.7  Frystikostn. umbúðir og fl.,Uppsjávarveiðiskip,.
1998,2.7  Frystikostn. umbúðir og fl.,Ísfisktogarar,.
1998,2.7  Frystikostn. umbúðir og fl.,Frystitogarar,.
1998,2.8  Flutningskostnaður,Samtals,362
1998,2.8  Flutningskostnaður,Bátar undir 10 brl.,152
1998,2.8  Flutningskostnaður,Bátar 10-200 brl.,108
1998,2.8  Flutningskostnaður,Bátar > 200 brl.,2
1998,2.8  Flutningskostnaður,Uppsjávarveiðiskip,19
1998,2.8  Flutningskostnaður,Ísfisktogarar,32
1998,2.8  Flutningskostnaður,Frystitogarar,49
1998,2.9  Laun v/skrifstofu,Samtals,1847
1998,2.9  Laun v/skrifstofu,Bátar undir 10 brl.,873
1998,2.9  Laun v/skrifstofu,Bátar 10-200 brl.,262
1998,2.9  Laun v/skrifstofu,Bátar > 200 brl.,8
1998,2.9  Laun v/skrifstofu,Uppsjávarveiðiskip,179
1998,2.9  Laun v/skrifstofu,Ísfisktogarar,120
1998,2.9  Laun v/skrifstofu,Frystitogarar,404
1998,2.10 Skrifst.kostnaður,Samtals,1309
1998,2.10 Skrifst.kostnaður,Bátar undir 10 brl.,185
1998,2.10 Skrifst.kostnaður,Bátar 10-200 brl.,339
1998,2.10 Skrifst.kostnaður,Bátar > 200 brl.,76
1998,2.10 Skrifst.kostnaður,Uppsjávarveiðiskip,223
1998,2.10 Skrifst.kostnaður,Ísfisktogarar,148
1998,2.10 Skrifst.kostnaður,Frystitogarar,339
1998,2.11  Tryggingar,Samtals,808
1998,2.11  Tryggingar,Bátar undir 10 brl.,157
1998,2.11  Tryggingar,Bátar 10-200 brl.,218
1998,2.11  Tryggingar,Bátar > 200 brl.,22
1998,2.11  Tryggingar,Uppsjávarveiðiskip,66
1998,2.11  Tryggingar,Ísfisktogarar,105
1998,2.11  Tryggingar,Frystitogarar,240
1998,2.12 Sölukostnaður,Samtals,2971
1998,2.12 Sölukostnaður,Bátar undir 10 brl.,164
1998,2.12 Sölukostnaður,Bátar 10-200 brl.,890
1998,2.12 Sölukostnaður,Bátar > 200 brl.,117
1998,2.12 Sölukostnaður,Uppsjávarveiðiskip,6
1998,2.12 Sölukostnaður,Ísfisktogarar,512
1998,2.12 Sölukostnaður,Frystitogarar,1283
1998,2.13 Löndunarkostnaður,Samtals,1213
1998,2.13 Löndunarkostnaður,Bátar undir 10 brl.,163
1998,2.13 Löndunarkostnaður,Bátar 10-200 brl.,240
1998,2.13 Löndunarkostnaður,Bátar > 200 brl.,43
1998,2.13 Löndunarkostnaður,Uppsjávarveiðiskip,123
1998,2.13 Löndunarkostnaður,Ísfisktogarar,277
1998,2.13 Löndunarkostnaður,Frystitogarar,366
1998,2.14 Kvótaleiga,Samtals,2115
1998,2.14 Kvótaleiga,Bátar undir 10 brl.,209
1998,2.14 Kvótaleiga,Bátar 10-200 brl.,1132
1998,2.14 Kvótaleiga,Bátar > 200 brl.,7
1998,2.14 Kvótaleiga,Uppsjávarveiðiskip,61
1998,2.14 Kvótaleiga,Ísfisktogarar,218
1998,2.14 Kvótaleiga,Frystitogarar,488
1998,2.15 Önnur gjöld,Samtals,3482
1998,2.15 Önnur gjöld,Bátar undir 10 brl.,381
1998,2.15 Önnur gjöld,Bátar 10-200 brl.,177
1998,2.15 Önnur gjöld,Bátar > 200 brl.,162
1998,2.15 Önnur gjöld,Uppsjávarveiðiskip,327
1998,2.15 Önnur gjöld,Ísfisktogarar,275
1998,2.15 Önnur gjöld,Frystitogarar,2160
1998,Verg hlutdeild fjármagns (EBITDA),Samtals,12396
1998,Verg hlutdeild fjármagns (EBITDA),Bátar undir 10 brl.,1439
1998,Verg hlutdeild fjármagns (EBITDA),Bátar 10-200 brl.,1612
1998,Verg hlutdeild fjármagns (EBITDA),Bátar > 200 brl.,711
1998,Verg hlutdeild fjármagns (EBITDA),Uppsjávarveiðiskip,2206
1998,Verg hlutdeild fjármagns (EBITDA),Ísfisktogarar,1154
1998,Verg hlutdeild fjármagns (EBITDA),Frystitogarar,5274
1998,"EBITDA sem hlutfall af tekjum, %",Samtals,19.7
1998,"EBITDA sem hlutfall af tekjum, %",Bátar undir 10 brl.,22.4
1998,"EBITDA sem hlutfall af tekjum, %",Bátar 10-200 brl.,12.2
