Species,Port,Year,Quantity,Value
Capelin,Dalvík,2016,0,0
Capelin,Dalvík,2017,0,0
Capelin,Dalvík,2018,0,0
Capelin,Dalvík,2019,0,0
Capelin,Dalvík,2020,0,0
Capelin,Dalvík,2021,0,0
Capelin,Dalvík,2022,0,0
Capelin,Dalvík,2023,0,0
Capelin,Dalvík,2024,0,0
Capelin,Djúpivogur,1982,0,0
Capelin,Djúpivogur,1983,0,0
Capelin,Djúpivogur,1984,0,0
Capelin,Djúpivogur,1985,0,0
Capelin,Djúpivogur,1986,5,21
Capelin,Djúpivogur,1987,0,0
Capelin,Djúpivogur,1988,88,389
Capelin,Djúpivogur,1989,0,0
Capelin,Djúpivogur,1990,0,0
Capelin,Djúpivogur,1991,0,0
Capelin,Djúpivogur,1992,0,0
Capelin,Djúpivogur,1993,192,938
Capelin,Djúpivogur,1994,2417,22937
Capelin,Djúpivogur,1995,3831,25007
Capelin,Djúpivogur,1996,7865,69000
Capelin,Djúpivogur,1997,16251,89481
Capelin,Djúpivogur,1998,12761,98716
Capelin,Djúpivogur,1999,18740,73889
Capelin,Djúpivogur,2000,18272,75063
Capelin,Djúpivogur,2001,26360,143225
Capelin,Djúpivogur,2002,30138,244398
Capelin,Djúpivogur,2003,28606,197378
Capelin,Djúpivogur,2004,21761,143552
Capelin,Djúpivogur,2005,0,0
Capelin,Djúpivogur,2006,0,0
Capelin,Djúpivogur,2007,0,0
Capelin,Djúpivogur,2008,0,0
Capelin,Djúpivogur,2009,0,0
Capelin,Djúpivogur,2010,0,0
Capelin,Djúpivogur,2011,0,0
Capelin,Djúpivogur,2012,0,0
Capelin,Djúpivogur,2013,0,0
Capelin,Djúpivogur,2014,0,0
Capelin,Djúpivogur,2015,0,0
Capelin,Djúpivogur,2016,0,0
Capelin,Djúpivogur,2017,0,0
Capelin,Djúpivogur,2018,0,0
Capelin,Djúpivogur,2019,0,0
Capelin,Djúpivogur,2020,0,0
Capelin,Djúpivogur,2021,0,0
Capelin,Djúpivogur,2022,0,0
Capelin,Djúpivogur,2023,0,0
Capelin,Djúpivogur,2024,0,0
Capelin,Domeniska lýðveldið,1982,0,0
Capelin,Domeniska lýðveldið,1983,0,0
Capelin,Domeniska lýðveldið,1984,0,0
Capelin,Domeniska lýðveldið,1985,0,0
Capelin,Domeniska lýðveldið,1986,0,0
Capelin,Domeniska lýðveldið,1987,0,0
Capelin,Domeniska lýðveldið,1988,0,0
Capelin,Domeniska lýðveldið,1989,0,0
Capelin,Domeniska lýðveldið,1990,0,0
Capelin,Domeniska lýðveldið,1991,0,0
Capelin,Domeniska lýðveldið,1992,0,0
Capelin,Domeniska lýðveldið,1993,0,0
Capelin,Domeniska lýðveldið,1994,0,0
Capelin,Domeniska lýðveldið,1995,0,0
Capelin,Domeniska lýðveldið,1996,0,0
Capelin,Domeniska lýðveldið,1997,0,0
Capelin,Domeniska lýðveldið,1998,0,0
Capelin,Domeniska lýðveldið,1999,0,0
Capelin,Domeniska lýðveldið,2000,0,0
Capelin,Domeniska lýðveldið,2001,0,0
Capelin,Domeniska lýðveldið,2002,0,0
Capelin,Domeniska lýðveldið,2003,0,0
Capelin,Domeniska lýðveldið,2004,0,0
Capelin,Domeniska lýðveldið,2005,0,0
Capelin,Domeniska lýðveldið,2006,0,0
Capelin,Domeniska lýðveldið,2007,0,0
Capelin,Domeniska lýðveldið,2008,0,0
Capelin,Domeniska lýðveldið,2009,0,0
Capelin,Domeniska lýðveldið,2010,0,0
